strategy,pr_auc,roc_auc,precision,recall,f1,threshold,tp,fp,fn,tn
class_weight,0.8270614853730412,0.9722950029218604,0.9594594594594594,0.7473684210526316,0.8402366863905325,0.5,71,3,24,56648
none,0.8267436113725661,0.9720443453871302,0.9605263157894737,0.7684210526315789,0.8538011695906432,0.5,73,3,22,56648
threshold_tuned,0.8267436113725661,0.9720443453871302,0.9605263157894737,0.7684210526315789,0.8538011695906432,0.33,73,3,22,56648
smote,0.8080263409822585,0.9734195243452757,0.7524752475247525,0.8,0.7755102040816326,0.5,76,25,19,56626
undersample,0.5499926076972194,0.967188018235382,0.03136810279667423,0.8736842105263158,0.06056183874498358,0.5,83,2563,12,54088
